a, [a]
b, [b]
ḷḷ, [ts/ɖʐ/ɖ/ʈʂ]
rr, [r]
z, [θ]
e, [e]
c, [θ/k]
ll, [ʎ]
s, [s̺]
i, [i]
ch, [ʧ]
m, [m]
t,  [t]
o, [o]
d, [d]
n, [n]
ts,  [t͡s]
u, [u]
f, [f]
ñ, [ɲ]
v, [b]
y, [i]
g(u), [g]
p, [p]
x, [ʃ/ks]
h, [k]
y, [ʝ]
ḥ, [h/x]
r, [r/ɾ]
yy, [ɟ͡ʝ]
Asturianu, Asturian
