a, [a]
uu, [ɨː]
b, [ᵐb]
p, [p]
aa, [aː]
a, [ã]
d, [ⁿd~dⁿ]
r, [ɾ]
e, [e~ɛ]
e, [ẽ]
g, [gᵑ]
s, [s~ʃ]
i, [i]
i, [ĩ]
hu, [w]
t, [t~tʃ]
ii, [iː]
o, [õ]
j, [h]
y, [w]
o, [o]
u, [ũ]
k, [k]
y, [j]
oo, [oː]
m, [m]
’, [ʔ]
u, [ɨ]
n, [n]
