A, [a]
K, [k]
S, [s]
ch, [cʰ~ʧ]
lh, [lʱ]
sh, [ʃ]
B, [b]
L, [l]
T, [t̺]
dh, [dʱ]
mb, [mᵇ]
th, [t̺ʰ]
C, [c]
M, [m]
W, [w]
é, [e]
nd, [nᵈ]
u, [u]
D, [d]
N, [n]
Y, [j]
è, [ɛ]
ngg, [ŋg]
’, [~]
E, [ə]
Ng, [ŋ]
ë, [ə]
nj, [ɳʲ]
G, [g]
Ny, [ɲ]
eu, [ɯ]
ô, [o]
H, [h]
O, [ɔ]
gh, [gʱ]
ö, [ʌ]
I, [i]
P, [p]
jh, [ɟʱ]
ph, [pʰ]
J, [ɟ]
R, [r]
kh, [kʱ]
rh, [rʰ]
