A, [a]
G, [g]
Ŋ, [ᵑɡ]
U, [u]
aa, [aː]
sh, [ʃ]
B, [b]
H, [h]
Ny, [ɲ]
V, [v]
mb, [ᵐb]
uu, [uː]
Ɓ, [ɓ]
I, [i]
O, [o]
W, [w]
nd, [ⁿd]
zh, [ʒ]
C, [ʧ]
J, [ʤ]
P, [p]
X, [x/ks]
ee, [eː]
D, [d]
K, [k]
Q, [k/q]
Y, [j]
ii, [iː]
Ɗ, [ɗ]
L, [l]
R, [r/ɾ]
Ƴ, [ʔʲ]
nj, [ᶮʤ]
E, [e]
M, [m]
S, [s]
Z, [z]
oo, [oː]
F, [f]
N, [n]
T, [t]
qu, [kw]
