A, [a]
Ï, [ɪ]
Ö, [ɔ]
Ä, [ə]
J, [c]
R, [r]
B, [p]
L, [l]
’R, [t]
D, [t̺]
M, [m]
T, [t]
E, [e]
N, [n]
U, [u]
Ë, [ɛ]
Ng, [ŋ]
Ü, [ʊ]
G, [k]
Ngw, [ŋʷ]
W, [w]
Gw, [kʷ]
Ny, [ɲ]
Y, [j]
I, [i]
O, [o]
Z, [s]
