𖩀, [ta]
𖩋, [cu]
𖩖, [o]
𖩁, [ŋe]
𖩌, [kəu]
𖩗, [ɯa]
𖩂, [ʝɔ]
𖩍, [al]
𖩘, [e]
𖩃, [mi]
𖩎, [mum]
𖩙, [kə]
𖩄, [ba]
𖩏, [nin]
𖩚, [lam]
𖩅, [da]
𖩐, [pa]
𖩛, [la]
𖩆, [a]
𖩑, [u]
𖩜, [hai]
𖩇, [pʰi]
𖩒, [ɔ]
𖩝, [ri]
𖩈, [kʰəj]
𖩓, [ro/ru]
𖩞, [tæk]
𖩉, [hau]
𖩔, [ʃɪ]
𖩊, [dai]
𖩕, [tʰə]
