क, [k]
ज, [dʒ]
ट़, [ʈʂ]
ल, [l]
अ, [a]
उ, [u]
ख, [kʰ]
च़, [ts]
ठ़, [ʈʂʰ]
स, [s]
आ, [aː]
ऊ, [uː]
ख़, [x]
छ़, [tsʰ]
ण, [ɳ]
स़, [z]
अ', [ə]
ए', [e]
ग, [g]
ज़, [dz]
र, [r]
प, [p]
आ', [əː]
ए, [eː]
ग़, [ɣ]
य, [j]
ष, [ʂ]
फ, [pʰ]
अॅ, [ɔ]
ऍ', [ɛ]
ङ, [ŋ]
श, [ʃ]
ष़, [ʐ]
ब, [b]
अॅ', [ʌ]
ऍ, [ɛː]
ह, [h]
श़, [ʒ]
त, [t]
म, [m]
ऑ, [ʌː]
ओ', [o]
ह़, [ɦ]
ट, [ʈ]
थ, [tʰ]
व, [ʋ~w]
इ, [i]
ओ, [oː]
च, [tʃ]
ठ, [ʈʰ]
द, [d]
ड़, [ɽ]
ई, [iː]
छ, [tʃʰ]
ड, [ɖ]
न, [n]
ँ, [˜]
