a, [a]
ay, [aj]
b’, [ɓ]
m, [m]
t’, [tˀ]
aa, [aː]
ey, [ej]
ch, [ʧ]
n, [n]
tx, [tʂ]
e, [e]
oy, [oj]
ch’, [ʧˀ]
nh, [ŋ]
tx’, [tʂˀ]
ee, [eː]
uy, [uj]
h, [h]
p, [p]
tz, [ts]
i, [i]
j, [x]
p’, [pˀ]
tz’, [tsˀ]
ii, [iː]
k, [k]
q, [q]
w, [w]
o, [o]
k’, [kˀ]
q’, [qˀ]
x, [ʂ]
oo, [oː]
ky, [kʲ]
r, [ɾ]
xh, [ʃ]
u, [u]
ky’, [kʲˀ]
s, [s]
y, [j]
uu, [uː]
l, [l]
t, [t]
’, [ʔ]
