А, [a/ɒ]
Й, [j]
П, [p]
Щ, [ʆƫʆ]
Б, [ß]
К,  [k/q]
Р, [r]
Ъ, [v]
Л, [l]
С, [s~ʃ]
Ы, [ɨ/ɨ̞]
Г, [g/ɣ]
М, [m]
Т, [tʰ]
Ь, [ʲ]
Д, [d]
Н,  [n]
У, [u/u̞]
Э, [e/ə]
Е, [i̯eː]
НГ, [ŋ]
Ф, [f]
Ю, [ju]
Ё, [i̯o]
Х, [h/x]
Я, [ja:]
Ж, [ʒ]
О, [o̞]
Цц, [ʦ]
З, [z]
Ө, [o̯~ʊ̯]
Ч, [ʧ]
И, [i/i̞]
Ӫ, [ø̯~ʏ̆]
Ш, [ʃ]
