अ, [ə]
ऐ, [ai]
क, [kə]
त, [tə]
र, [rə]
०, [a]
औ, [au]
ख, [kʰə]
थ, [tʰə]
ल, [lə]
१, [i]
एउ, [eu]
ग, [gə]
द\ड, [də]
व, [və]
२, [u]
उइ, [ui]
ङ, [ŋə]
न\ण, [nə]
श\ष, [ʃə]
३, [e]
ओइ, [oi]
अ्, [ʔ]
प, [pə]
स, [sə]
४, [o]
च, [tʃə]
फ, [pʰə]
ह, [hə]
५, [ʤə]
ब, [bə]
व्ही\ह्व, [ɦə]
६, [ʈə]
म, [mə]
७, [ʈʰə]
य, [jə]
्, ९
