A, [a]
H, [h]
R, [ɽ]
Ƴ, [ʔʲ]
B, [b]
I, [i]
R̃, [r]
Z, [z]
Ɓ, [ɓ]
J, [(d)ʒ]
S, [s]
’, [ʔ]
C, [ʧ]
K, [k]
Sh, [ʃ]
D, [d]
Ƙ, [k’]
T, [t]
Ɗ, [ɗ]
L, [l]
Ts, [(t)sʼ]
E, [e]
M, [m]
U, [u]
F, [ɸ]
N, [n]
W, [w]
G, [g]
O, [o]
Y, [j]
حَوْسَ, ƙ
