A, [a]
K, [k]
P, [p]
T, [t]
Ä, [aː]
K’, [k’]
P’, [p’]
T’, [t’]
Ch, [ʧ]
Kh, [kʰ]
Ph, [pʰ]
Th, [tʰ]
Ch’, [ʧ’]
L, [l]
Q, [q]
U, [u]
Chh, [ʧʰ]
Ll, [ʎ]
Q’, [q’]
Ü, [uː]
I, [i]
M, [m]
Qh, [qʰ]
W, [w]
Ï, [iː]
N, [n]
R, [ɾ]
X, [χ]
J, [x]
Ñ, [ɲ]
S, [s]
Y, [j]
