A,a
K,k
P,p
T,t
Ä,a:
K’,k
P’,p
T’,t
Kh,kʰ
Ph,pʰ
Th,tʰ
Ch’,t̠ʃ̰
L,l
Q,q
U,u
Q’,q
Ü,u:
I,i
M,m
W,w
Ï,i:
N,n
X,χ
J,x
S,s
Y,j
