A, [ɑː]
#,  [kɑː]
T, [teː]
F, [eff]
C, [ʦeː]
B, [beː]
L, [ell]
U, [uː]
Š, [ʃɑː]
Q, [kuː]
D, [deː]
M, [emm]
V, [veː]
Z, [seː]
W, [kaksisveː]
E, [eː]
N, [enn]
Õ, [ɤː]
Ž, [ʃeː]
X, [ikks]
G, [geː]
O, [oː]
Ä, [æː]
Y, [ypsilon]
H,  [hɑː]
P, [peː]
Ö, [øː]
I, [iː]
R, [err]
Ü, [yː]
J, [jott]
S, [ess]
