A, [a/æ/ʌ/ɑ]
J, [j/ʒ]
T, [t]
oi, [oi]
B, [b/p]
K, [k]
U, [u/ʊ]
ou, [ou]
C, [ʔ]
L, [l]
W, [w/ʋ]
ee, [eː/ɛː]
D, [d]
M, [m]
ae, [ae]
oo, [oː/ɔː]
E, [e/ɛ]
N, [n]
ai, [ai]
F, [f]
O, [o/ɔ]
ao, [ao]
G, [g/k]
Q, [gb/p]
au, [au]
H, [h]
R, [r/ɾ]
ei, [ei]
I, [i/ɪ]
S, [s]
eu, [eu]
