अ, [ʌ]
प, [æː]
पै, [a]
पा, [o]
पो, [i]
पि, [ɔː]
पौ, [iː]
पी, [aŋ]
पं, [u]
पु, [əh]
पः, [uː]
पू, [ãː]
पाँ, [e]
पे, [ṛ]
पृ, pṛ
