a, [a]
b, [b]
ng, [ŋ]
w, [w]
e, [e]
ch, [tʃ]
ñ, [ɲ]
y, [j]
i, [i]
d, [d]
p, [p]
’, [ʔ]
u, [u]
g, [g]
r, [ɾ]
ã, [ã]
j, [h~x]
s, [s]
ẽ, [ẽ]
k, [k]
sh, [ʃ]
ĩ, [ĩ]
m, [m]
t, [t]
ũ, [ũ]
n, [n]
ts, [ts]
