A,a
D,d
Β,β
E,e
K,k
S,s
I,i
G,g
O,o
Mb,mb
H,h
U,u
Nd,nd
P,p
M,m
L,l
B,b
N,n
W,w
T,t
Ng,ŋ
Y,j
