A, [ɑ/a]
Ng, [ŋ]
E, [e/ɛ]
O, [ɒ/o]
F, [f]
P, [p]
H, [h/x]
S, [s]
I, [i]
T, [t]
K, [k]
U, [u]
L, [l]
V, [v]
M, [m]
’, [ʔ]
N, [n]
