a, [a]
č, [t͡ʃ]
i, [i]
h, [h]
ɨ, [ɨ]
k, [k]
u, [u]
m, [m]
n, [n]
p, [p]
r, [r]
s, [s]
š, [ʃ]
t, [t]
w, [w]
ʔ, [ʔ]
