ກ, [k]
ຕ, [t]
ຟ, [f/p]
ຫງ, [ŋ]
ຂ, [kʰ/k]
ຖ, [tʰ/t]
ມ, [m]
ຫຍ, [ɲ]
ຄ, [kʰ/k]
ທ, [tʰ/t]
ຢ, [j]
ໜ\ຫນ, [n]
ງ, [ŋ]
ນ, [n]
ຣ, [r;l/n]
ໝ\ຫມ, [m]
ຈ, [tɕ/t]
ບ, [b/p]
ລ, [l/n]
ຫຼ\ຫຣ, [r/l]
ສ, [s/t]
ປ, [p]
ວ, [ʋ;w]
ຊ, [s/t]
ຜ, [pʰ]
ຫ, [h]
ຫຼ\ຫລ, [l]
ຍ, [ɲ]
ຝ, [f/p]
ອ, [ʔ]
ດ, [d/t]
ພ, [pʰ/p]
ຮ, [h]
ຫວ, [ʋ/w]
