', [ʔ]
ii, [iː]
oo, [oː]
ai, [ai]
A, [a]
i̱, [ĩ]
o̱, [õ]
ia, [ijə]
aa, [aː]
K, [k]
P, [p]
io, [ijo]
a̱, [ɑ̃]
L, [l]
S, [s]
oa, [owa]
B, [b]
Lh, [ɬ]
Sh, [ʃ]
oha, [owha]
Ch, [ʧ]
M, [m]
T, [t]
F, [f]
N, [n]
W, [w]
H, [h]
ng, [ŋ]
Y, [j]
I, [i]
O, [o]
