අ, [a/ə]
ඍ, [ri/ru]
ආ, [aː/a]
ඎ, [riː/ruː]
ඇ, [æ]
එ, [e]
ඈ, [æː]
ඒ, [eː]
ඉ, [i]
ඓ, [aj]
ඊ, [iː]
ඔ, [o]
උ, [u]
ඕ, [oː]
ඌ, [uː]
ඖ, [ɑw]
