অ, [o]
ক, [k]
ত, [t]
ম, [m]
আ, [a]
খ, [kʰ]
থ, [tʰ]
ৰ, [r]
কৗ, [ɯ]
গ, [ɡ]
দ, [d]
ল, [l]
ই, [i]
ঘ, [ɡʱ]
ধ, [dʱ]
ৱ, [w]
উ, [u]
ঙ, [ŋ]
ন, [n]
হ, [h]
এ, [e]
চ, [tʃ]
প, [p]
য়, [j]
ঐ, [ɔj]
ছ, [s]
ফ, [pʰ]
ও, [ɔ]
জ, [dʒ]
ব, [b]
ঔ, [ɔw]
ঝ, [dʒʱ]
ভ, [bʱ]
