ر, [r~rˤ]
ﻑ, [f]
ذ, [ð]
ﻍ, [ʁ~ɣ]
ء, [d]
ع, [ʕ~ʢ̰]
ي, [j]
خ, [χ~x]
ظ, [ðˤ]
ﻭ, [w]
ح, [ħ~ʜ]
ط, [tˁ]
ﻩ, [h]
ج, [ʤ~ʒ
~ɟ~ɡ], [dˁ~zˤ]
ﻥ, [n]
ث, [θ]
ص, [sˁ]
ﻡ, [m]
ت, [t]
ش, [ʃ]
ﻝ, [l~ɫ]
ب, [b]
س, [s]
ﻙ, [k]
ا, [ʔ]
ز, [z]
ﻕ, [q]
