A, [a]
I, [i]
R, [r~ɾ]
aa, [aː]
B, [b]
J, [dʒ]
S, [s]
ch, [tʃ]
C, [k/s]
K, [k]
T, [t]
ee, [eː]
D, [d]
L, [l]
U, [u]
gw, [gw]
E, [e]
M, [m]
V, [v]
ii, [iː]
F, [f]
N, [n]
W, [w]
kw, [kw]
G, [g]
O, [o]
X, [ks]
sh, [ʃ]
Gh, [ɣ]
P, [p]
Y, [j]
H, [h]
Q, [k]
Z, [z]
