A,a
I,i
R,ɾ
aa,a:
B,b
J,dʒ
S,s
K,k
T,t
ee,eː
D,d
L,l
U,u
gw,g
E,e
M,m
V,v
ii,i:
F,f
N,n
W,w
kw,kʷ
G,g
O,o
X,NA
sh,ʃ
P,p
Y,j
H,h
Q,k
Z,z
