A, [a̘/a̙]
I, [i̘/ɪ̙]
O, [o̘/o̙]
Y, [j]
B, [b]
J, [ʤ]
P, [p]
Z, [z]
Ch, [ʧ]
K, [k]
R, [r]
D, [d]
L, [l]
S, [s]
Dh, [d̟~ð]
M, [m]
T, [t]
E, [e̘/ɛ̙]
N, [n]
Th, [t̟~θ]
F, [f]
ng, [ŋg]
U, [u̘/ʊ̙]
G, [g]
Ny, [ɲ]
V, [v]
H, [h]
Ŋ, [ŋ]
W, [w]
