A, [a]
G, [g]
O, [o]
V, [ʋ]
B, [b]
H, [h]
P, [p]
X, [x]
C, [c]
I, [i]
Ph, [pʰ]
Z, [z]
Č, [tʃ]
J, [j]
R, [r]
Ž, [ʒ]
Čh, [tʃʰ]
K, [k]
S, [s]
D, [d]
Kh, [kʰ]
Š, [ʃ]
Dž, [dʒ]
L, [l]
T, [t]
E, [e]
M, [m]
Th, [tʰ]
F, [f]
N, [n]
U, [u]
