د, [d]
ڭ, [ŋ]
ﯛ, [ʉ]
خ, [χ]
گ, [g]
ﯙ, [ɵ]
چ, [ʧ]
ﻙ, [k]
ﯗ, [u]
ج, [ʤ]
ﻕ, [q]
ﻭ, [o]
ت, [t]
ﻍ, [ʁ]
ﻫ, [ɦ]
ﺌ, [ʔ]
پ, [p]
ش, [ʃ]
ﻥ, [n]
ﻱ, [j]
ب, [b]
س, [s]
ﻡ, [m]
ﻯ, [i]
ﻩ, [ɛ]
ز, [z]
ﻻ, [la]
ﯤ, [e]
ا, [a]
ر, [r]
ﻝ, [l]
ﯞ, [v]
