Ì\g, [g]
n, [n/ɲ]
t, [t]
f, [f]
m, [m]
S, [s]
Z, [ʒ]
E, [eː/a/ɛ]
L, [j/ʎ]
s, [ʃ]
z, [z]
e, [ɛ/a]
Ñ\l, [l]
r, [r]
y, [i/j]
F, [dʒ]
ç, [ky]
P, [q/k]
x, [ks]
ª, [dz]
Ä\k, [k]
Æ\p, [p]
V, [w/β]
¨, [d]
j, [j]
Q, [øː/ɣ]
v, [v/β]
¥, [tʃ]
I, [iː/i]
q, [ø]
W, [yː]
£, [ts]
ÿ\i, [i]
O, [oː]
w, [y]
Å, [b]
H, [x]
o, [o/u]
U, [uː/o]
¢, [aː/ɛ]
h, [x]
N, [ɲ/n
u, [u/w]
Ligatures, [ɒ/a]
G, [ɟ/dɣ]
n, [ng/ŋ]
T, [c/t]
È, æ
