a, [a]
u, [ɨ]
c\k, [k/g]
s, [s]
aa, [aː]
uu, [ɨː]
ch\č, [tʃ]
sh\x\š, [ʃ]
i, [i]
an, [ã]
h, [Ɂ]
t, [t]
ii, [iː]
in, [ĩ]
j, [h]
tz, [ts/tθ]
o, [o/u]
on, [õ/ũ]
m, [m]
v, [w/β]
oo, [oː/uː]
un, [ɨ͂]
n, [n]
x, [ʂ]
p, [p/b]
y, [j]
r, [ɾ]
z, [s/θ]
