A, [ɑ]
J, [dʒ]
S, [s]
bw, [bʷ]
B, [b]
K, [k]
T, [t]
mb, [ᵐb]
C, [ʔ]
L, [l]
U, [u]
mbw, [ᵐbʷ]
D, [d]
M, [m]
V, [β]
mw, [mʷ]
E, [e]
N, [n]
W, [w]
nd, [ⁿd]
G, [g]
Ŋ, [ŋ]
Y, [j]
nj, [ⁿdʒ]
H, [h]
O, [o]
ŋg, [ᵑg]
I, [i]
P, [p]
pw, [pʷ]
