خ,x
ﺽ,z
ڴ,ŋ
ﺡ,h
ﺹ,s
گ,g
ش,ʃ
ک,k
ﺀ,ʔ
س,s
ق,g
ﺙ,s
ژ,ʒ
ف,f
ه,h
ت,t
ز,z
پ,p
ر,r
ع,ʔ
ن,n
ب,b
ﺫ,z
ﻅ,z
م,m
د,d
ﻁ,t
ل,l
