A, [ɑ]
M, [m]
R, [r]
B, [b]
Mp, [ᵐp]
S, [s]
D, [d]
N, [n]
T, [t]
Dz, [dʒ]
Nt, [ⁿt]
Ts, [tʃ]
F, [f]
Nts, [ⁿtʃ]
U, [u]
G, [g]
Ŋ, [ᵑʔ]
W, [w]
H, [h]
Ŋk, [ᵑk]
Y, [j]
I, [i]
Ŋʼ, [ⁿʔ]
’, [ʔ]
K, [k]
P, [p]
