A, [a]
K, [k]
T, [t]
Aa, [aː]
N, [n]
U, [u]
Č, [ʧ]
O, [o]
Uu, [uː]
E, [e]
Oo, [oː]
W, [w]
E, [eː]
P, [p]
X, [x]
H, [h]
R, [r]
’, [ʔ]
I, [i]
S, [s]
Ii, [iː]
Š, [ʃ]
