A, [a]
J, [ʄ]
R, [ɾ]
mph, [ᵐpʰ]
B, [ɓ]
K, [k]
S, [θ~s]
nth, [ⁿtʰ]
Ch, [t͡ʃ]
L, [l]
Sh, [ʃ]
nkh, [ⁿkʰ]
D, [ɗ]
M, [m/m̩]
T, [t]
mw, [mʲ]
E, [ɛ]
N, [n]
U, [ʊ]
bw, [bʲ]
F, [f]
Ng, [ŋ]
V, [ʋ]
pw, [pʲ]
G, [ɠ/ɣ]
Ny, [ɲ]
W, [w]
H, [ɦ]
O, [ɔ]
Y, [j]
I, [ɪ]
P, [p]
Z, [ð~z]
