ف, [f]
ں, [ɲ]
ژ, [ʒ]
ه, [e]
ن, [n]
ز, [z]
ج, [ʤʲ]
م, [m]
و, [v]
ح, [ʤ]
ڵ, [ʎ]
ۆ, [u]
د, [d]
ل, [l]
ت, [t]
ح, [ʧʲ]
ق,  [k]
ش, [ʃ]
چ, [ʧ]
ي, [j]
س, [s]
ڄ, [ts]
اى, [i]
ر, [r]
ب, [b]
ح,  [h/x]
پ, [p]
آ, [a]
غ, [g]
ۉ, [o]
