अ, [ʌ]
प, [aː]
पा, [i]
पि, [iː]
पी, [u]
पु, [uː]
पू, [r]
पृ, [rː]
पॄ, [l]
पॢ, [lː]
पॣ, [eː]
पे, [aːi]
पै, [o]
पो, [aːu]
पौ, [aŋ]
पं, [ə]
पाँ, [əh]
पः, paḥ
