ก, [k]
ฒ, [ts]
ล, [l]
ั, [a]
เเ็, [æ]
่, [`]
ข, [kʰ]
ด, [d]
ว, [w]
า, [aː]
เเ, [æː]
mid, [¯]
ฃ, [g]
ต, [t]
อ, [i]
โ◌ะ, [o]
้, [´]
ง, [ŋ]
ธ, [tsʰ]
ฮ, [h]
ี, [iː]
โ, [oː]
จ, [c]
น, [n]
ฮม, [hm]
ึ, [ʉ]
็อ, [ɔ]
ช, [tʃʰ]
บ, [b]
ฮน, [hn]
ื, [ʉː]
อ, [ɔː]
ซ, [s]
ป, [p]
ฮญ, [hɲ]
ุ, [u]
เ◌อะ, [ə]
ฌ, [ʃ]
พ, [pʰ]
ฮง, [hŋ]
ู, [uː]
เิ, [əː]
ญ, [ɲ]
ม, [m]
ฮล, [hl]
เ็, [e]
เ◌า, [aw]
ฑ, [tʰ]
ย, [j]
ฮย, [hj]
เ, [eː]
ไ, [aj]
