ض,t
ي,j
ص,s
ڣ,p
ح,h
ه,h
س,s
غ,k
ز,z
ࢳ,ŋ
ُ,u
ُو,u:
ث,s
ع,ʔ
ٗ,o
ٗو,o:
ر,r
م,m
ِ,i
ِي,i:
ب,p
ل,l
ࣣ,e
ࣣي,eː
ا,ʔ
ࢴ,k
َ,a
آ,a:
