ཀ, [k/k̀ʱ]
ན, [n/n̥]
ཚ, [tsʰ]
ཁ, [kʰ]
ཏྲ, [ʈ]
ཛ, [dz]
ག, [g]
ཐྲ, [ʈʰ]
ཝ, [w]
ང, [ŋ/ŋ̥]
དྲ, [ɖ/ʈ̀ʱ]
ཞ, [ʑ]
ཅ, [tɕ]
པ, [p̀ʱ]
ཟ, [z]
ཆ, [tɕʰ]
ཕ, [pʰ]
ར, [r/ɹ/ɾ/r̥]
ཇ, [dʑ/tɕ̀ʱ]
བ, [b]
ལ, [l/l̥]
ཉ, [n~ŋ]
མ, [m]
ཤ, [ɕ]
ཏ, [t]
ཙ, [ts]
ས, [s]
ཐ, [tʰ]
འ, [ʔ]
ཧ, [h]
ད, [d/t̀ʱ]
ཡ, [j]
