A,a
M,m
T,t
Aa,a:
N,n
Th,tʰ
Ts,tsʰ
E,e
O,o
Ty,c
Ee,eː
Oo,o:
Tz,ts
I,i
P,p
W,w
Ii,i:
R,ɾ
Y,j
J,h
S,s
K,k
Sh,ʃ
