a, [a/aː]
C, [ç/ça]
𐎱, [p/pa]
v, [ʋ/ʋa]
i, [i/iː]
j, [ɟ/ɟa]
f, [f/fa]
W, [ʋi]
u, [u/uː]
J, [ɟi]
𐎲, [b/ba]
r, [r/ra]
k, [k/ka]
t, [t/ta]
n, [n/na]
R, [ru]
K, [ku]
T, [tu]
N, [nu]
l, [l/la]
x, [x/xa]
𐎰, [θ/θa]
m, [m/ma]
q, [s/sa]
g, [g/ga]
d, [d/da]
M, [mi]
z, [z/za]
G, [gu]
D, [di]
o, [mu]
S, [ʃ/ʃa]
c, [c/ca]
Ð, [du]
y, [j/ja]
h, [h/ha]
Old, Auramazdāha
(genitive), 𐏔𐏔
