A, [a]
H, [x]
Ŋ, [ŋ]
U, [u]
B, [ᵐb]
I, [i]
O, [o]
W, [u̥]
B̃, [ᵐbʷ]
K, [k]
P, [p]
V, [β]
D, [ⁿd]
L, [l]
P̃, [pʷ]
Ṽ, [βʷ]
E, [e]
M, [m]
R, [r]
Ww\Uu, [w]
Ə, [ə]
M̃, [mʷ]
S, [s]
Yy\Ii, [j]
G, [ᵑg]
N, [n]
T, [t]
