A, [a]
M, [m]
T, [tʰ~t~d̥]
ã, [ã]
Ch, [ʧʰ~ʧ]
N, [n]
Ts, [ʦ]
ẽ, [ĩ~ɨ̃]
D, [d]
O, [ɔ]
U, [u~o]
ĩ, [ĩ]
E, [ɪ~ɨ]
P, [pʰ~p~b̥]
W, [w]
kw, [kw~kʷ]
I, [i]
R, [ɾ~ɹ]
Y, [j]
õ, [ɔ̃]
J, [h]
S, [s]
’, [ʔ]
ũ, [ũ]
K, [kʰ~k~ɡ̊]
Sh, [ʃ]
