ܟܟ, [k/x]
ܬ, [t]
ܝ, [j]
ܫ, [ʃ]
ܛ, [t]
ܪ, [r]
ܚ, [ħ]
ܩ, [q]
ܙ, [z]
ܨ, [s̴]
ܘ, [w]
ܦ, [p/f]
ܗ, [h]
ܥ, [ʕ]
ܕ, [d/ð]
ܣ, [s]
ܓ, [g/ɣ]
ܢܢ, [n]
ܒ, [b/v]
ܡܡ, [m]
ܐ, [ʔ]
ܠ, [l]
