A, [a]
G, [g]
Mb, [m͡b]
Ŋ, [ŋ]
V, [v]
B, [b]
Gb, [ɡ͡b]
Mgb, [m͡gb]
O, [o]
W, [w]
D, [d]
H, [h]
Mv, [m͡v]
Ɔ, [ɔ]
Y, [j]
Dz, [ʣ]
I, [i]
N, [n/n̩]
P, [p]
Z, [z]
E, [e]
K, [k]
Nd, [n͡d]
R, [ʀ~x]
Ə, [ə]
Kp, [k͡p]
Ndz, [n͡dz]
U, [u]
Ɛ, [ɛ]
L, [l]
Ng, [n.g]
T, [t]
F, [f]
M, [m/m̩]
Ny, [ɲ]
S, [s]
