a\ah, [a]
o, [ɔ]
b, [b]
n, [n]
t’, [tʰ]
aa,  [o]
o\oh, [o]
ch,  [ʧ]
p, [p]
th, [θ]
ae, [eɪ]
oa, [oː]
d, [d]
p’, [pʰ]
th’, [t]
e\eh, [ɛ]
oii, [ɔɪ]
g, [g]
q, [ts]
i\ih, [ɪ]
u\uh, [ʌ]
h, [h]
r, [ɾ]
ts’\ds’, [tsʰ]
ii\eee, [iː]
u\uu, [uː]
j, [ʤ]
rr, [r]
w, [w]
i\ai, [ai]
k, [k]
s, [s]
x, [x]
k’, [kʰ]
sh, [ʃ]
y, [j]
l, [l]
tch, [ʧ]
m, [m]
t, [t]
