A, [ɐ]
Ng, [ŋ]
B, [b]
O, [o]
C, [ts]
P, [p]
D, [d]
Q, [k]
E, [e]
R, [r]
F, [f]
S, [s]
G, [g]
T, [t]
H, [h]
U, [u]
I, [i]
V, [v]
J, [ʤ]
W, [w]
K,  [k]
X, [ks]
L, [l]
Y, [j]
M, [m]
Z, [z]
N, [n]
’, [ʔ]
