က, [k]
ဇ, [z]
မ, [m]
သ, [θ]
အ, [ə/a]
အာ, [a]
အော, [ɔ]
ာ, [a˨]
ကျ, [ʨ]
ည, [ɲ]
ယ, [j]
ဟ, [h]
ဣ, [ʔḭ]
အါ, [a]
အေါ, [ɔ]
ာဥ်, [ãĩ˨]
ခ, [kʰ]
တ, [t]
ယှ, [h]
အ, [ʔ]
ဤ, [ʔi˨]
အိ, [ḭ]
အ်ာ, [ɔ˨]
ာဥ်, [ɛ͂˨]
ချ, [ʃ~ʨʰ]
ထ, [tʰ]
ယျ, [h]
ျ, [j]
ဥ, [wə]
အီ, [i]
အ်ျ, [ɔ˨]
င်, [ɔ͂˨]
ဂ, [g]
ဒ, [d]
ရ, [r]
ြ, [r]
ဦ, [ʔu˨]
အု, [ə/ṵ]
အဲ့, [wɛ]
န်, [e˨]
ဂျ, [ʥ]
န, [n]
ရှ, [h]
ွ, [w]
ဧ, [ʔi]
အူ, [u]
င, [ŋ]
ပ, [p]
လ, [l]
ှ, [-̥]
ဩ, [ʔɔ˥]
အေ, [i]
စ, [s]
ဖ, [pʰ]
လှ, [ɬ]
ဪ, [ʔɔ˨]
အဲ, [e]
ဆ, [sʰ]
ဗ, [b]
ဝ, [w]
