A, [a]
K, [k]
S, [s]
B, [b]
kh, [kʰ]
T, [t]
C, [ʧ]
L, [Ɩ/ɫ]
tch, [ʧʰ]
ch, [ʧ]
M, [m]
th, [tʰ]
D, [d]
N, [n]
U, [u]
E, [e]
ng, [ŋg]
V, [v]
F, [f]
ng’\ŋ, [ŋ]
W, [w]
G, [g]
O, [o]
Ŵ, [β]
H, [h]
P, [p]
Z, [z]
I, [i]
ph, [pʰ]
J, [ʤ]
R, [ɽ]
