A,a
G,g
T,t
Ā,a:
M,m
U,u
B,b
H,x
N,n
Ū,u:
C,ts
I,i
V,v
Ī,i:
Z,z
D,d
J,j
P,p
Ž,ʒ
K,k
R,r
Ķ,c
S,s
F,f
L,l
Š,ʃ
