A, [a]
G, [g]
Ļ, [ʎ]
T, [t]
Ā, [aː]
Ģ, [ɟ]
M, [m]
U, [u]
B, [b]
H,  [x]
N, [n]
Ū, [uː]
C, [ts]
I, [i]
Ņ, [ɲ]
V, [v]
Č, [ʧ]
Ī, [iː]
O, [ɔ/uɔ]
Z, [z]
D, [d]
J, [j]
P, [p]
Ž, [ʒ]
E, [ɛ/e]
K,  [k]
R, [r]
Ē, [ɛː/eː]
Ķ,  [c]
S, [s]
F, [f]
L, [l]
Š, [ʃ]
