ࡈ, [t̴]
ࡑ, [s̴]
ࡇ, [ħu]
ࡐ, [p/f]
ࡆ, [z]
ࡏ, [iː/e]
ࡘ, [o/u/ū
w\v], [s]
ࡗ, [h]
ࡍ, [n]
ࡖ, [d]
ࡃ, [d/ð]
ࡌ, [m]
ࡕ, [t/θ]
ࡂ, [g/ɣ]
ࡋ, [l]
ࡔ, [ʃ]
ࡁ, [b/β]
ࡊ, [k/χ]
ࡓ, [r]
ࡀ, [æ/a/
aː], [e/i/
iː\j], [q]
ࡀࡁࡂ, Font: Noto Sans Mandaic
