a, [ɑ/ə]
i, [i/ɪ]
q, [j]
0, [b]
j, [r/ɾ]
z, [k]
s, [s]
C, [d]
l, [l]
t, [t]
S, [ʃ]
3, [e/ɛ]
m, [m]
u, [u/ʊ]
T, [n]
v, [g]
o, [o/ɔ]
w, [w]
6, [x]
p, [p]
x, 7
