A, [ɑ]
L, [l]
T, [t]
B, [b]
M, [m]
U, [u]
D, [d]
N, [n]
W, [w]
E, [e]
Ng, [ŋ]
X, [x]
G, [g]
O, [o]
Y, [j]
H, [h]
P, [p]
I, [i]
R, [r]
K, [k]
S, [s]
