A, [a~ə]
E, [ɛ~e]
Ị, [i]
Mb, [ᵐb]
Ngb, [ᵑᵐɡb]
Ṛ, [ɾ]
W, [w]
B, [b]
F, [f]
Ɨ, [ɨ]
Mv, [ᶬv]
Ngbr, [ᵑᵐgbr]
S, [s]
Y, [j]
’B, [ɓ]
G, [g]
K, [k]
N, [n]
Ny, [ɲ]
T, [t]
’Y, [ʄ]
C, [c]
Gb, [gb]
Kp, [kp]
Nd, [ⁿd]
Nz, [ⁿz]
Tr, [tr]
Z, [z]
D, [d]
Gbr, [gbr]
Kpr, [kpr]
Ndr, [ⁿdr]
O, [ɔ~ɵ]
U, [ʊ]
’, [ʔ]
Dr, [dr]
H, [h]
L, [l]
Ṇg, [ŋ]
P, [p]
Ụ, [u]
’D, [ɗ]
I, [ɪ]
M, [m]
Ng, [ᵑɡ]
R, [r]
V, [v]
