A, [a]
L, [l]
T, [t]
B, [b]
M, [m]
U, [u]
K, [k]
N, [n]
W, [w]
D, [d]
Ng, [ŋ]
Y, [j]
E, [ɤ/e/ɛ]
O, [o]
G, [g]
P, [p]
H, [h]
R, [r]
I, [i/ɪ]
S, [s]
