А, [ɑ~a]
Ж, [ʒ]
Н,  [n]
У, [u~ʊ]
Ъ, [ʔ]
Б, [b]
З, [z]
Ҥ,  [ŋ]
Ӱ, [y~ʏ]
Ы, [ɯ~ɨ]
В, [v]
И, [i~ɪ]
О, [ɔ~o]
Ф, [f]
Ь, [ʲ]
Г, [g~ɣ]
I, [ɪ~ĭ]
Ӧ, [ø~œ]
Х, [χ~x]
Э, [e~ɛ]
Д, [d]
Й, [j/-ĭ]
П, [p]
Ц, [ʦ]
Ю, [ju/ʲu]
Ј, [ʥ~ɟ]
К,  [k/q]
Р, [r]
Ч, [ʧ~c]
Я, [ja/ʲa]
Е, [je/e~ɛ]
Л,  [l]
С, [s]
Ш, [ʃ]
Ё, [jɔ/ʲɔ]
М, [m]
Т, [t]
Щ, [ʆƫʆ]
