A,a
Ö,ɔ
Ä,ə
J,c
R,r
B,p
L,l
’R,t
M,m
T,t
E,e
N,n
U,u
Ë,ɛ
Ng,ŋ
G,k
Ngw,ŋʷ
W,w
Gw,kʷ
Y,j
I,i
O,o
Z,s
