A, [ɐ]
H, [h]
P, [p]
W, [w]
aa, [ɑː]
B, [b]
I, [ɪ]
Ph, [p’]
X, [tʼ]
ee, [eː]
C, [tʃʼ]
J, [ʤ]
Q, [k’]
Y, [j]
ii, [iː]
Ch, [ʧ]
K, [k]
R, [r]
Z, [z]
oo, [oː]
D, [d]
L, [l]
S, [s]
', [ʔ]
uu, [uː]
Dh, [ᶑ]
M, [m]
Sh, [ʃ]
E, [ɛ]
N, [n]
T, [t]
F, [f]
Ny, [ɲ]
U, [ʊ]
G, [g]
O, [ɔ]
V, [v]
