A, [a]
Ii\Yy, [i]
N, [n]
Pw, [pʷ]
â, [ɔ]
K, [k]
Nd, [ⁿd]
R, [r]
B, [b]
L, [l]
Nz, [ⁿʤ]
S, [s]
Bw, [bʷ]
M, [m]
Ŋ, [ŋ]
T, [t]
D, [d]
Mb, [ᵐb]
Ŋg, [ᵑg]
Uu\Ww, [u]
E, [e]
Mbw, [ᵐbʷ]
O, [o]
V, [β]
G, [g]
Mw, [mʷ]
P, [p]
Z, [ʤ]
