A, [a]
K, [k]
S, [s]
ae, [aj]
B, [b]
L, [l]
T, [t]
ao, [əʊ]
E, [e/ɛ]
M, [m]
U, [u]
F, [f]
N, [n]
V, [v]
G, [g]
Ng, [ŋ]
W, [w]
H, [h]
O, [o]
Y, [j]
I, [i]
P, [p]
J, [ʧ~dʒ]
R, [ɾ]
